Date,momentum_score_z_weight,liquidity_1m_z_weight,downside_risk_score_z_weight,volatility_score_z_weight
2016-12-31,0.36692583844909765,0.5330741615509024,0.05,0.05
2017-01-31,0.5097241328249228,0.3432074487152639,0.05,0.09706841845981332
2017-02-28,0.42491358258904405,0.03,0.29687800573903794,0.24820841167191804
2017-03-31,0.06999999999999999,0.8300000000000001,0.05,0.05
2017-04-30,0.06999999999999999,0.8300000000000001,0.05,0.05
2017-05-31,0.35,0.15,0.25,0.25
2017-06-30,0.35,0.15,0.25,0.25
2017-07-31,0.09090311644119656,0.2933506671011936,0.24110727263475779,0.37463894382285207
2017-08-31,0.06999999999999999,0.03,0.8500000000000001,0.05
2017-09-30,0.2810441432373862,0.2942875428266941,0.05,0.37466831393591965
2017-10-31,0.06999999999999999,0.8300000000000001,0.05,0.05
2017-11-30,0.06999999999999999,0.03,0.4832859100933436,0.4167140899066565
2017-12-31,0.06999999999999999,0.03,0.4656406640713711,0.43435933592862885
2018-01-31,0.06999999999999999,0.03,0.40299677211732315,0.49700322788267687
2018-02-28,0.6247910652917659,0.03,0.1456069531080197,0.19960198160021447
2018-03-31,0.06999999999999999,0.8300000000000001,0.05,0.05
2018-04-30,0.35,0.15,0.25,0.25
2018-05-31,0.06999999999999999,0.03,0.34610310075230244,0.5538968992476977
2018-06-30,0.06999999999999999,0.03,0.05,0.8500000000000001
2018-07-31,0.5653243600192716,0.33467563998072847,0.05,0.05
2018-08-31,0.06999999999999999,0.03,0.4390523269004682,0.46094767309953183
2018-09-30,0.06999999999999999,0.5000117822021616,0.07120482816252732,0.35878338963531115
2018-10-31,0.06999999999999999,0.03,0.34505051710262014,0.5549494828973799
2018-11-30,0.87,0.03,0.05,0.05
2018-12-31,0.35,0.15,0.25,0.25
2019-01-31,0.35,0.15,0.25,0.25
2019-02-28,0.16187095702275728,0.31026688070829034,0.2235245687683462,0.3043375935006062
2019-03-31,0.09594099580576189,0.8040590041942381,0.05,0.05
2019-04-30,0.5249418332776934,0.03,0.05,0.3950581667223066
2019-05-31,0.06999999999999999,0.03,0.4051385427700464,0.4948614572299536
2019-06-30,0.87,0.03,0.05,0.05
2019-07-31,0.2507694268276156,0.03,0.15579798296099523,0.5634325902113893
2019-08-31,0.06999999999999999,0.03,0.350999350198855,0.549000649801145
2019-09-30,0.15236853087786362,0.03,0.29538036952688906,0.5222510995952474
2019-10-31,0.48893485977407164,0.12694526790515268,0.18682580980630192,0.1972940625144738
2019-11-30,0.1953388273853563,0.03,0.4103547239794809,0.3643064486351628
2019-12-31,0.06999999999999999,0.03,0.05,0.8500000000000001
2020-01-31,0.06999999999999999,0.8300000000000001,0.05,0.05
2020-02-29,0.06999999999999999,0.04579292361142215,0.8207516668140151,0.06345540957456282
2020-03-31,0.06999999999999999,0.03,0.41859928555354653,0.4814007144464535
2020-04-30,0.35,0.15,0.25,0.25
2020-05-31,0.87,0.03,0.05,0.05
2020-06-30,0.06999999999999999,0.03,0.05,0.8500000000000001
2020-07-31,0.06999999999999999,0.03,0.3857987910548811,0.5142012089451189
2020-08-31,0.18359937829347123,0.03,0.40751682484600765,0.37888379686052115
2020-09-30,0.13609622499744126,0.03,0.40707644778679186,0.4268273272157669
2020-10-31,0.06999999999999999,0.03,0.38090887584648175,0.5190911241535183
2020-11-30,0.4340248067604089,0.03,0.08968818692895736,0.44628700631063384
2020-12-31,0.18445178081883862,0.4853305309315652,0.28021768824959614,0.05
2021-01-31,0.32998913518607187,0.5222666376901351,0.05,0.097744227123793
2021-02-28,0.5531975830537496,0.19828310025170515,0.1985193166945453,0.05
