Date,momentum_score_z_weight,liquidity_1m_z_weight,downside_risk_score_z_weight,volatility_score_z_weight
2016-04-30,0.13999999999999999,0.06,0.45675675675675675,0.3432432432432432
2016-05-31,0.13999999999999999,0.06,0.38888888888888895,0.411111111111111
2016-06-30,0.13999999999999999,0.06,0.7,0.1
2016-07-31,0.35,0.15,0.25,0.25
2016-08-31,0.35,0.15,0.25,0.25
2016-09-30,0.35,0.15,0.25,0.25
2016-10-31,0.35,0.15,0.25,0.25
2016-11-30,0.35,0.15,0.25,0.25
2016-12-31,0.13999999999999999,0.6599999999999999,0.1,0.1
2017-01-31,0.35,0.15,0.25,0.25
2017-02-28,0.13999999999999999,0.6599999999999999,0.1,0.1
2017-03-31,0.35,0.15,0.25,0.25
2017-04-30,0.13999999999999999,0.06,0.1,0.7
2017-05-31,0.13999999999999999,0.06,0.1,0.7
2017-06-30,0.35,0.15,0.25,0.25
2017-07-31,0.35,0.15,0.25,0.25
2017-08-31,0.20000000000000023,0.06,0.1,0.6399999999999998
2017-09-30,0.13999999999999999,0.06,0.1,0.7
2017-10-31,0.74,0.06,0.1,0.1
2017-11-30,0.13999999999999999,0.06,0.1279069767441861,0.6720930232558138
2017-12-31,0.13999999999999999,0.06,0.16000000000000003,0.64
2018-01-31,0.38999999999999996,0.06,0.15000000000000002,0.4
2018-02-28,0.4416574585635359,0.06,0.17955801104972374,0.3187845303867404
2018-03-31,0.36758620689655164,0.08482758620689655,0.1703448275862069,0.37724137931034485
2018-04-30,0.35739130434782607,0.24260869565217377,0.1,0.3000000000000001
2018-05-31,0.3400000000000001,0.4599999999999999,0.1,0.1
2018-06-30,0.518640776699029,0.1706796116504854,0.1,0.21067961165048554
2018-07-31,0.37783783783783775,0.07081081081081084,0.19729729729729734,0.354054054054054
2018-08-31,0.3474766355140187,0.14971962616822432,0.11121495327102812,0.3915887850467289
2018-09-30,0.33055793991416305,0.06,0.25193133047210303,0.35751072961373387
2018-10-31,0.1930769230769231,0.06,0.3423076923076923,0.4046153846153846
2018-11-30,0.275,0.06,0.295,0.37
2018-12-31,0.28150943396226413,0.06,0.3113207547169811,0.3471698113207547
2019-01-31,0.13999999999999999,0.06,0.33622047244094483,0.46377952755905516
2019-02-28,0.13999999999999999,0.06,0.2739130434782608,0.5260869565217392
2019-03-31,0.13999999999999999,0.06,0.1,0.7
2019-04-30,0.35,0.15,0.25,0.25
2019-05-31,0.13999999999999999,0.06,0.33877551020408153,0.46122448979591846
2019-06-30,0.35,0.15,0.25,0.25
2019-07-31,0.74,0.06,0.1,0.1
2019-08-31,0.6819354838709679,0.06,0.15806451612903213,0.1
2019-09-30,0.13999999999999999,0.6599999999999999,0.1,0.1
2019-10-31,0.13999999999999999,0.6599999999999999,0.1,0.1
2019-11-30,0.17934426229508227,0.6206557377049178,0.1,0.1
2019-12-31,0.13999999999999999,0.6599999999999999,0.1,0.1
2020-01-31,0.3135849056603774,0.48641509433962254,0.1,0.1
2020-02-29,0.4275,0.37249999999999994,0.1,0.1
2020-03-31,0.4038132295719844,0.2864591439688715,0.17704280155642022,0.13268482490272376
2020-04-30,0.4059459459459459,0.20594594594594592,0.22648648648648645,0.16162162162162166
2020-05-31,0.6817910447761194,0.11373134328358209,0.10447761194029853,0.1
2020-06-30,0.5,0.06,0.2220338983050847,0.21796610169491526
2020-07-31,0.4028571428571429,0.06,0.26571428571428574,0.27142857142857146
2020-08-31,0.47529411764705876,0.06,0.2367647058823529,0.22794117647058829
2020-09-30,0.446158357771261,0.06,0.2530791788856304,0.24076246334310852
2020-10-31,0.42602739726027394,0.06,0.24465753424657533,0.2693150684931507
2020-11-30,0.43625,0.06,0.23124999999999996,0.2725
2020-12-31,0.4773665480427046,0.06,0.2046263345195729,0.2580071174377224
2021-01-31,0.6246153846153847,0.06,0.11538461538461535,0.2
2021-02-28,0.74,0.06,0.1,0.1
2021-03-31,0.74,0.06,0.1,0.1
2021-04-30,0.74,0.06,0.1,0.1
2021-05-31,0.7353846153846153,0.06461538461538467,0.1,0.1
2021-06-30,0.5111340206185566,0.28886597938144326,0.1,0.1
2021-07-31,0.32181818181818195,0.478181818181818,0.1,0.1
2021-08-31,0.13999999999999999,0.6599999999999999,0.1,0.1
2021-09-30,0.13999999999999999,0.6599999999999999,0.1,0.1
2021-10-31,0.13999999999999999,0.6599999999999999,0.1,0.1
2021-11-30,0.13999999999999999,0.6599999999999999,0.1,0.1
2021-12-31,0.13999999999999999,0.6599999999999999,0.1,0.1
2022-01-31,0.35,0.15,0.25,0.25
2022-02-28,0.13999999999999999,0.06,0.1,0.7
2022-03-31,0.35,0.15,0.25,0.25
2022-04-30,0.13999999999999999,0.06,0.1,0.7
2022-05-31,0.13999999999999999,0.06,0.1845070422535211,0.6154929577464788
2022-06-30,0.13999999999999999,0.06,0.33399999999999996,0.46599999999999997
2022-07-31,0.13999999999999999,0.06,0.1,0.7
2022-08-31,0.17214285714285732,0.06,0.20714285714285713,0.5607142857142856
2022-09-30,0.13999999999999999,0.06,0.3017699115044248,0.49823008849557526
2022-10-31,0.13999999999999999,0.06,0.35326633165829147,0.4467336683417086
2022-11-30,0.13999999999999999,0.06,0.35882352941176465,0.4411764705882354
2022-12-31,0.24739299610894944,0.06,0.3357976653696497,0.35680933852140084
2023-01-31,0.3140259740259741,0.06,0.3181818181818181,0.3077922077922078
2023-02-28,0.3326605504587157,0.06,0.32568807339449535,0.28165137614678903
2023-03-31,0.23936305732484087,0.06,0.3713375796178343,0.3292993630573248
2023-04-30,0.13999999999999999,0.23217391304347826,0.3556521739130434,0.27217391304347827
2023-05-31,0.13999999999999999,0.16312500000000002,0.3999999999999999,0.29687500000000006
2023-06-30,0.13999999999999999,0.6599999999999999,0.1,0.1
2023-07-31,0.13999999999999999,0.6599999999999999,0.1,0.1
2023-08-31,0.13999999999999999,0.6599999999999999,0.1,0.1
2023-09-30,0.13999999999999999,0.6599999999999999,0.1,0.1
2023-10-31,0.13999999999999999,0.6599999999999999,0.1,0.1
2023-11-30,0.13999999999999999,0.6599999999999999,0.1,0.1
2023-12-31,0.13999999999999999,0.6599999999999999,0.1,0.1
2024-01-31,0.13999999999999999,0.6599999999999999,0.1,0.1
2024-02-29,0.13999999999999999,0.6599999999999999,0.1,0.1
2024-03-31,0.13999999999999999,0.6599999999999999,0.1,0.1
2024-04-30,0.2247826086956522,0.5752173913043477,0.1,0.1
2024-05-31,0.1400000000000001,0.6599999999999999,0.1,0.1
2024-06-30,0.13999999999999999,0.6599999999999999,0.1,0.1
2024-07-31,0.13999999999999999,0.5561538461538461,0.1,0.2038461538461539
2024-08-31,0.13999999999999999,0.0687591240875913,0.3102189781021897,0.4810218978102191
2024-09-30,0.13999999999999999,0.06,0.38444444444444437,0.41555555555555557
2024-10-31,0.13999999999999999,0.06,0.3955223880597014,0.40447761194029863
2024-11-30,0.13999999999999999,0.2894117647058825,0.29411764705882326,0.2764705882352943
2024-12-31,0.13999999999999999,0.6599999999999999,0.1,0.1
