annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,turnover,net_return_after_costs,average_transaction_cost_rate,framework,model
0.12143217140330953,0.14386903978644403,0.8440465828058679,-0.3853131946690703,0.3151518636874157,0.20068027210884354,0.11732979627018669,0.0003059162628880759,holding_buffer_top5,ridge_ic
0.1180150178909114,0.14234695391173824,0.8290659873486736,-0.3794291102822692,0.3110331144679867,0.18253968253968253,0.11451381633177915,0.0002625190976720773,holding_buffer_top5,lasso_ic
0.12320195629723885,0.1434790654464077,0.8586754863081906,-0.3794291102822692,0.32470348994990145,0.18480725623582764,0.11958911906078207,0.00027041496956313097,holding_buffer_top5,elastic_net_ic
0.12583204445237017,0.14729005565788314,0.8543145963950587,-0.3971183464467637,0.3168628334053531,0.15532879818594106,0.12242939445854262,0.00025498482694532123,holding_buffer_top5,random_forest_ic
0.12028127789402521,0.14459962770915938,0.8318228739561702,-0.35417321409178815,0.33961144747341876,0.20748299319727892,0.11586058489796836,0.0003328119078289863,holding_buffer_top5,xgboost_ic
0.0984623076807909,0.14498320728262204,0.6791290489860253,-0.491245886611101,0.20043385678003534,0.003401360544217687,0.09839104609348759,5.333057086512037e-06,holding_buffer_top6,equal_weight_benchmark
0.11816710842173972,0.13489892389032504,0.8759677617429436,-0.370405155492189,0.3190212303193269,0.0873015873015873,0.1166168684899429,0.00011679582250505729,holding_buffer_top6,fixed_weight
0.12484597021339372,0.14427860282976157,0.8653117493846474,-0.3704051554921892,0.3370524636664415,0.09183673469387756,0.12286609087830991,0.00014788567170322386,holding_buffer_top6,rolling_ic
0.11410725494158136,0.1366432974302933,0.8350739266943672,-0.35279667646972857,0.3234363092175338,0.1349206349206349,0.11130432565698523,0.00021136044648239363,holding_buffer_top6,ridge_ic
0.12410704970680486,0.1359699219404889,0.9127537026984823,-0.34857740970815676,0.3560387054649134,0.11904761904761904,0.12164159524450868,0.00018456920128014347,holding_buffer_top6,lasso_ic
0.12533410306581882,0.13703771176705115,0.9145957083614534,-0.34857740970815676,0.3595588801085924,0.12131519274376416,0.1228348959697072,0.0001870118753863577,holding_buffer_top6,elastic_net_ic
0.1216747563741214,0.14004981457906376,0.8687962689549374,-0.3704051554921892,0.32849099039251134,0.11904761904761903,0.11937151112415889,0.0001727686086890905,holding_buffer_top6,random_forest_ic
0.1129533841541075,0.14083590271268023,0.8020212316496033,-0.3527966764697287,0.32016566959864584,0.1530612244897959,0.11006847647699192,0.00021758670205681877,holding_buffer_top6,xgboost_ic
